id_str timestamp_ms quoted_status.id_str hashtags botscore sentiment toxicity
1547068334940000262 1657684808846  "['anittaapoiaocrime', 'bolsonaroreeleito2022']" 0.34 0 0
1547068667107614723 1657684888041  "['ptcc', 'ptnuncamais', 'ptepccjuntos']" 0.08 0 1
1547068843205562373 1657684930026  "['semcorrupção', 'governobolsonaro', 'melhoradministração']" 0.09 0 0
1547069067596627972 1657684983525  "['semcorrupção', 'governobolsonaro', 'melhoradministração']" 0.09 0 0
1547069216439898114 1657685019012  "['bolsonaro22', 'lulaladrão']" 0.07 -1 1
1547069585970679808 1657685107115  "['ptnuncamais', 'ptepccjuntos']" 0.08 0 1
1547069831538741249 1657685165663  "['ptnuncamais', 'ptepccjuntos']" 0.08 0 1
1547070279079366657 1657685272365  "['lula', 'jornalnacional']" 0.16 -2 0
1547070444158820352 1657685311723  "['bolsonaro22', 'bolsonaro2022', 'grupopatriaamada']" 0.4 0 0
1547071124508385281 1657685473931 1547046256559722496 "['f1nabandsports', 'nba', 'blacklivesmatter', 'globonews', 'pt', 'bbb23', 'f1', 'jn', 'fia', 'sbtrio', 'cnnnaseleições', 'wseries', 'salve60anosdeeletrobraspublica', 'bbb22', 'teamlh', 'redebbb', 'powercouple', 'nfl', 'wsl', 'drpowercouple', 'globolixo', 'f1naband', 'jornaldacultura', 'cnnbrasil360']" 0.31 0 1
1547071268566056960 1657685508277  "['bolsonaroreeleito2022', 'luladrao', 'ptepccjuntos']" 0.31 0 1
1547071359217504256 1657685529890  "['bolsonarovagabundo', 'faltam120diasparaofimdogovernobolsonaro', 'bolsonaronacadeia', 'lulitta']" 0.07 -2 0
1547071608459862017 1657685589314  "['bolsonaroreeleito2022', 'luladrao', 'ptepccjuntos']" 0.31 0 1
1547071908235169792 1657685660786  "['lulanao', 'forabolsonaro', 'luladrao']" 0.32 0 0
1547071997586599942 1657685682089  "['lula', 'nordeste', 'pt', 'pl', 'bolsonaro', 'hamiltonmourao', 'politica', 'jairmessiasbolsonaro', 'jair', 'pdt', 'cirogomes']" 0.72 0 0
1547072110912315392 1657685709108  "['stf', 'brasil', 'eleição', 'presidência', 'democracia', 'lula']" 0.1 1 0
1547072161629851648 1657685721200  "['bolsonaroreeleitoem2022', 'bolsonaroorgulhodobrasil']" 0.25 0 0
1547072176632872960 1657685724777  "['bolsonaro', 'ptepccjuntos', 'luladrao']" 0.31 1 0
1547072480057200640 1657685797119  "['marceloarrudapresente', 'justicaparamarceloarruda']" 0.24 0 0
1547072579449622531 1657685820816 1547066691972222976 "['derreteglobo', 'folhalixo', 'derretemetropoles', 'derretecnnlixo']" 0.58 0 0
1547072583228588035 1657685821717  "['lulanuncamais', 'forabolsonaro', 'lulaladrao']" 0.32 0 1
1547072787218571264 1657685870352  "['lulanuncamais', 'ptnuncamais', 'luladrao']" 0.03 -1 1
1547073045965279233 1657685932042  "['lulanuncamais', 'cpidoptepcc']" 0.31 0 1
1547073154157350912 1657685957837  "['lulanoprimeiroturno', 'lulaeoptunindoobrasil']" 0.2833333333333333 0 0
1547073230187515905 1657685975964  "['bolsonaroreeleitoem2022', 'anitaapoiaocrime']" 0.5933333333333333 0 0
1547073307576598528 1657685994415  "['bolsonaro22', 'luladrao']" 0.07 0 0
1547073967323758592 1657686151711  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.26 0 0
1547074683404681216 1657686322438  "['bolsonaroreeleito2022', 'compartilhem']" 0.45 0 0
1547074931040583681 1657686381479  "['lulaeoptunindoobrasil', 'vamosjuntospelobrasil', 'lulaeleitonoprimeiroturno']" 0.34 0 1
1547074955942174726 1657686387416  "['bolsonaroreeleito2022', 'compartilhem']" 0.45 0 0
1547074957687103488 1657686387832  "['bolsonarotemrazao', 'bolsonaro22', 'bolsonaroreeleito2022']" 0.59 0 0
1547075381315997697 1657686488833  "['bolsonaroreeleitoem2022', 'ptnuncamais']" 0.36 0 0
1547075417345085440 1657686497423  "['13neles', 'anittalulou']" 0.21 -2 0
1547075882426179584 1657686608307  "['petistas', 'lulistas', 'pt', 'anitters', 'lula13', 'newprofilepic', 'lula', 'anittashack']" 0.07 0 0
1547076121287696384 1657686665256  "['bolsonaro2022', 'bolsonaroreeleito2022']" 0.32 0 0
1547076218125688834 1657686688344  "['fechadocombolsonaro', 'leirouanetnão', 'anittanao', 'bolsonaroorgulhodobrasil']" 0.0 1 0
1547076655566430208 1657686792638 1547075882426179584 "['anittashack', 'lula13']" 0.34 0 0
1547076781051711488 1657686822556  "['bolsonaronoprimeiroturno', 'bolsonaroreeleitoem2022']" 0.27 -1 1
1547077223026393088 1657686927931 1546916208137670658 "['esquerdalhasnuncamais', 'esquerdacriminosa', 'esquerdagenocida']" 0.15 0 1
1547078078219919360 1657687131825 1546882358393143302 "['freixo', 'lula13presidente', 'freixogovernador']" 0.11 0 1
1547078583843262464 1657687252375  "['eleicoes2022', 'forabolsonaro', 'bolsonaro', 'eleições2022', 'eleicoes', 'golpe', 'forçasarmadas', 'eleições']" 0.2 0 0
1547078772817526790 1657687297430 1546929348564975617 "['bolsonarotemrazao', 'bolsonaroreeleito2022']" 0.29 3 0
1547078839393828864 1657687313303  "['lulanoprimeiroturno', 'lula2022']" 0.5033333333333334 0 1
1547079000706715648 1657687351763  "['lulanoprimeiroturno', 'lula2022']" 0.5033333333333334 0 1
1547079050061119489 1657687363530  "['bolsonaro22', 'lulaladrao']" 0.34 -1 0
1547079277526622208 1657687417762  "['justiça', 'eleitoral', 'eleicoes2022', 'forabolsonaro', 'urnas', 'eleicoes', 'eleições2022']" 0.2 1 0
1547079358522720257 1657687437073  "['bolsonarotemrazao', 'bolsonaro', 'bolsonaroreeleitoem2022', 'bolsonaroreeleito2022', 'bolsonaronoprimeiroturno']" 0.42 0 0
1547080333434273793 1657687669510 1547019965500428294 "['elemata', 'bolsonaroassassino']" 0.06 0 0
1547080742303326209 1657687766992 1547046462483218433 "['anittashack', 'lula13']" 0.09 0 0
1547080848444383232 1657687792298 1546922207892348929 "['bolsonaroreeleitoem2022', 'bolsonaroorgulhodobrasil']" 0.47 0 0
1547080877296984065 1657687799177  "['lulavergonhadobrasil', 'lulacondenado']" 0.09 0 1
1547080889385078784 1657687802059 1546922207892348929 "['bolsonaroreeleitoem2022', 'bolsonaroorgulhodobrasil']" 0.47 0 0
1547081213722099712 1657687879387 1546910952771166208 "['esquerdanuncamais', 'esquerdacriminosa']" 0.29 -1 1
1547081299294359553 1657687899789  "['eleicoes2022', 'forabolsonaro', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547081515506380801 1657687951338  "['eleicoes2022', 'forabolsonaro', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 0
1547081609031155718 1657687973636  "['brasil', 'internacionales', 'mntv', 'lula']" 0.4 0 0
1547082079409786881 1657688085783 1546877626224082944 "['fazol', 'equipelula']" 0.26 0 0
1547082140310978560 1657688100303 1547075882426179584 "['lulaeoptunindoobrasil', 'anittashack']" 0.26 1 0
1547082210875940864 1657688117127  "['eleicoes2022', 'forabolsonaro', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 0
1547082535771021312 1657688194588  "['eleicoes2022', 'forabolsonaro', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 0
1547082813341679618 1657688260766  "['lulanacadeia', 'anittaapoiacrime', 'ptepccjuntos']" 0.34 0 1
1547082888251904000 1657688278626  "['bolsonaronoprimeiroturno', 'bolsonaroreeleitoem2022']" 0.48 0 0
1547083067659063296 1657688321400  "['eleicoes2022', 'forabolsonaro', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547083148961452032 1657688340784  "['forabolsonaro', 'eleccionesbrasil2022', '13jul']" 0.46 0 0
1547083346978770945 1657688387995  "['stfpartidodeesquerda', 'stfvergonhanacional']" 0.08 0 1
1547083892833804288 1657688518137  "['eleicoes2022', 'forabolsonaro', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 0
1547084634449920002 1657688694952  "['lulaeoptunindoobrasil', 'vamosjuntospelobrasil', 'lulaeoptmeubrasildevolta']" 0.7233333333333333 1 0
1547084742050340865 1657688720606  "['esquerdacriminosa', 'stforganizacaocriminosa', 'lulanuncamais', 'lulaapoiaocrime', 'lulaapoiahomicidas', 'ptepccjuntos']" 0.03 -1 1
1547085695839264768 1657688948007  "['eleicoes2022', 'forabolsonaro', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547086133728788480 1657689052408 1547005470673608706 "['vamosjuntospelobrasil', 'vamosjuntospelodf']" 0.69 -1 0
1547087284893360129 1657689326867  "['eleicoes2022', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547087481652363265 1657689373778  "['eleicoes2022', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547087785496043520 1657689446220  "['eleicoes2022', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547088030615437313 1657689504661  "['eleicoes2022', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547088677796446208 1657689658961  "['eleicoes2022', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547089267813384193 1657689799632  "['lulavergonhadobrasil', 'luladrao']" 0.59 0 1
1547089739978874882 1657689912205 1545804001173798913 "['bolsonaroreeleitoem2022', 'bolsonaro2022']" 0.43 0 0
1547090169190301699 1657690014537 1546275772209545220 "['lulano1ºturno', 'federal', 'rj']" 0.1 0 0
1547090696263421954 1657690140201  "['vamosjuntospelobrasil', 'tvpt', 'brasília']" 0.18 0 0
1547090890598014977 1657690186534 1546304197708193794 "['lulano1ºturno', 'estadual', 'rj']" 0.1 0 0
1547091136501743616 1657690245162 1546304191051796481 "['lulano1ºturno', 'estadual', 'viradaprogressista', 'rj']" 0.1 0 0
1547091161063608320 1657690251018  "['eleicoes2022', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547091493785042944 1657690330345  "['ptnuncamais', 'luladrao', 'ptepccjuntos']" 0.33333333333333337 0 1
1547092719947874305 1657690622685  "['eleicoes2022', 'urnas', 'golpe', 'eleicoes', 'eleições2022', 'forçasarmadas']" 0.2 0 1
1547093285751119872 1657690757583  "['lulaeoptunindoobrasil', 'lulaembrasilia']" 0.28 0 0
1547095897850499072 1657691380356  "['eleicoes2022', 'urnas', 'eleições2022', 'eleicoes', 'golpe', 'forçasarmadas', 'eleições']" 0.2 0 1
1547097045936349184 1657691654081  "['allanjesus', 'forabolsonaro', 'justiçabrasileiraeruim', 'justiça']" 0.48 0 0
1547099439550140418 1657692224763  "['euestoucomobolsonaro', 'bolsonaro2022', 'melhorpresidentebolsonaro']" 0.22 0 0
1547100795199520769 1657692547975 1547016756786503683 "['bolsonarismomata', 'bolsonaronacadeia', 'bolsonaroassassino']" 0.56 -2 1
1547100830096048128 1657692556295  "['marceloarrudapresente', 'bolsominions']" 0.45 0 0
1547101367571021824 1657692684439 1546882358393143302 "['fazol', 'lulaeleitonoprimeiroturno']" 0.12 0 0
1547104184201248773 1657693355976  "['bolsonarismomata', 'bolsonaronacadeia', 'bolsonaroassassino']" 0.57 -1 1
1547104861484945410 1657693517453  "['bolsonarismomata', 'bolsonaronacadeia', 'bolsonaroassassino']" 0.57 -2 1
1547107093320286208 1657694049564  "['marceloarrudapresente', 'justicaparamarceloarruda']" 0.24 1 0
1547108252487393281 1657694325931 1546809276383068160 "['fechadocombolsonaroate2026', 'family']" 0.5 0 0
1547110111377870849 1657694769125  "['lulanoprimeiroturno', 'lula2022', 'lulapresidente']" 0.0 0 0
1547112941484392449 1657695443875  "['lulanoprimeiroturno', 'lula2022', 'lulapresidente']" 0.0 0 0
1547113440787013633 1657695562918  "['stfvergonhanacional', 'ffaa', 'forçabolsonaro', 'bolsonaroreeleito2022', 'lulaapoiacrime']" 0.01 0 0
1547113840521134080 1657695658222 1547025596617728007 "['lulavergonhadobrasil', 'bolsonaroreeleitoem2022', 'ptnuncamais', 'luladrao']" 0.35 0 1
1547113895831261185 1657695671409  "['bolsonarotemrazao', 'bolsonaroreeleitoem2022']" 0.3666666666666667 -1 0
1547114317392510976 1657695771917  "['lulavergonhadobrasil', 'bolsonaroreeleitoem2022', 'ptnuncamais']" 0.36 0 1
1547114350628032518 1657695779841  "['ptpcc', 'ptnuncamais', 'ptepccjuntos']" 0.21 -1 0
1547114868804820993 1657695903384  "['marceloarrudapresente', 'justicaparamarceloarruda']" 0.24 0 0
1547118241427881985 1657696707480  "['lulanoprimeiroturno', 'lulasim', 'lula13']" 0.18 0 0
1547119785997131776 1657697075734  "['bolsonaroreeleito2022', 'ptnuncamais']" 0.28 0 1
1547120497284251648 1657697245318  "['bolsonaroreeleito2022', 'ptnuncamais']" 0.28 0 1
1547124255669850112 1657698141387  "['lula', 'forabolsonaro', 'lulapresidentenoprimeiroturno', 'jailbolsonaro', 'lulapresidente13', 'forabol卐onarogenocida']" 0.41 0 1
1547125540766842881 1657698447778 1546882358393143302 "['lulanoprimeiroturno', 'lula13presidente', 'viradarj']" 0.18 -1 0
1547126292256022528 1657698626947  "['mundo', 'politica', 'lulaladrao']" 0.04 0 1
1547128485772140544 1657699149922  "['forabolsonaro', 'elesnão', 'foralula']" 0.26 -1 0
1547131203710590977 1657699797929  "['shorts', 'mudabrasil', 'foragenocida']" 0.21 0 0
1547131341778591745 1657699830847  "['bolsonaronacadeia', 'bolsonaroladraoteulugarenaprisao', 'bolsonaroassassino']" 0.31 1 0
1547132523049779206 1657700112484  "['mudabrasil', 'foragenocida']" 0.21 0 0
1547134282635812865 1657700532002  "['mudabrasil', 'foragenocida']" 0.21 0 0
1547135711094210560 1657700872573 1546882358393143302 "['lulanoprimeiroturno', 'vamosjuntospelobrasil', 'viradarj', 'vamosjuntospelorio']" 0.19 -1 0
1547135750310961152 1657700881923 1546888021794078723 "['bolsonaroassassino', 'globolixo', 'bolsonarismomata', 'luladrao', 'annitaapoiaocrime']" 0.43 -1 0
1547137037370793993 1657701188782  "['lulanoprimeiroturno', 'lula13presidente', 'democracia']" 0.3 -1 0
1547138199729881088 1657701465910  "['vamosvotar', 'bolsonaro22', 'nanovaenquete', 'vamospatriotas']" 0.13 0 0
1547138974925332480 1657701650731 1546566921792937987 "['stf', 'paróquiacoracaoeucaristico', 'cnbb', 'câmaradosdeputados', 'senadofederal', 'congressonacional', 'tse', 'caruaru', 'pernambuco', 'band', 'redeglobo', 'papafrabcisco', 'sbt']" 0.2 0 0
1547139272377077761 1657701721649 1546612656928444418 "['tatiinsignificante', 'lulanuncamais', 'lulaladrao']" 0.4 -1 0
1547139312671723522 1657701731256  "['ptcc', 'ptepccjuntos', 'ptnuncamais']" 0.34 0 0
1547139760032043008 1657701837915  "['tatiinsignificante', 'lulanuncamais', 'lulaladrao']" 0.4 -1 0
1547139893398208512 1657701869712  "['bolsonaronaoapuda', 'lulapresidente', 'lula13', 'lulanoprimeiroturno', 'quemmatoumarielle', 'lula2022']" 0.29 -1 0
1547139895688404992 1657701870258  "['tatiinsignificante', 'lulanuncamais', 'lulaladrao']" 0.4 -1 0
