Label Appearances
pdt 8148
senado 2340
pnd 8717
bahia 16964
popular 61
eleições 24039
política 5670
mercadodecasaamarela 3
pernambuco 5941
prefeituradorecife 3
recife 13969
bolsonaroreeleito2022 102584
foxnews 6682
estudioi 2594
jovenpannews 138
rntv 36
l3rasil 695
lula2022 65210
lulaeoptmeubrasildevolta 3933
obrasilfelizdenovo 3275
bolsonaroexterminadordeimpostos 1
bolsonaronoprimeiroturno 179541
cirogomes 28382
votemnociro 1
covid 1190
covidisnotover 2
covid19 3145
argentina 7917
naftas 2
brasil 160286
bolsonarosnacadeia 252
taradodacaixa 76
lulanoprimeiroturno 137155
ciropresidente 17893
funkdapolarização 10
forasatanas 10
luladrao 41607
ludsession 3
lula13presidente 48333
voltalula 6633
impeachmentbolsonaro 2523
povosindígenas 315
jairbolsonaro 31709
somos70porcento 2199
ciro1e2turno 1
nemlulanembolsonaro 8093
lulaeoptdestruiramobrasil 18568
westandwithbolsonaro 7
ptnuncamais 206160
lula 203058
lulaeoptbrasilmaisfeliz 97
pecombolsonaro22 47
repubblica 896
bolsonaroreeleitoprimeiroturno 277
folhalixo 2432
ptelulanuncamais 1082
bolsonaro 195733
jairmessiasbolson 4
bolsonaro2022 113982
bolsonaro22 589216
noarnacbn 1163
sp 9935
peckamikazefuturoemrisco 1
peckamikazefuturotenebroso 1
lulaeoptpelotrabalhador 3868
nuncafoitãofacilescolherumpresidente 2
bolsonaroreeleito 189223
bolsonaroreeleitoem2022 209796
ricardosallessenador 5
tarcisiogovernadorsp2022 56373
nuncasera 8
lulaladraoseulugarenaprisao 107445
cirogames 2102
desisteciro 657
fechadocombolsonaro 26628
forametadedolegislativonacional 8
foraomaraziz 10
forarandolferodrigues 10
forarenancalheiros 26
forastfvergonhanacional 10
haddadnao 109
fechadocomtarcisio 149
voltalulapracadeia 303
temquesermuitoimbecilparacairnaconversadolula 1
xadrez4d 1
constituição 185
leis 141
pf 799
bolsonaronacadeia 37588
lulanacadeira 199
adi7183 5
roltaxativomata 51
despachabarroso 5
suspendebarroso 5
jesuscrist 2
brazil 56070
forabolsonaro 142029
forasimonetebet 379
tmj 783
vivaademocracia 726
brasileiras 561
desemprego 436
fome 3521
inflação 806
brasileiros 2867
democracia 20466
voto 3489
equipefb 21
tocomlula 690
faculdadeptcancer 2
lixoglobo 12
lixooglobo 2
fim 157
inrio 2
vitóriadopaporetooio 2
hojetemxodo 3
julietteaovivonatve 3
vamosjuntospelobrasil 118734
derrubavetosdacultura 16
senadofederal 18463
leipaulogustavo 46
nationalism 5
nationalist 11
freedom 1513
liberty 100
trump 2458
globalcommunistnarcovirus 4
dsö 3
pandemi 3
brezilya 100
carlazambellisenadora 8
marcosfelicianosenador 2
ptdecaboarabo 8
evento 107
ms 15197
pauloguedesétop 3
bolsonarotemrazao 93769
foracanalha 3
foragenocida 4429
guerreirasdobrasil 1
haintz 31
querdenken 1
prefirociro 52876
sextou 2099
dictatorship 518
greed 26
ivermectin 32
neverendingboosters 6
vaccinedeaths 98
vaccinesideeffects 80
wakeupworld 8
02deoutubro 3192
canhotos 10
esquerda 9271
gado 1073
lula13 396601
lulaoficial 3705
pt 38492
pec16nao 62
lulapresidente13 207049
bolsonarodatamotociata 18
bolsonaroorgulhodobrasil 39424
bolsonaroreeleitonoprimeiroturno 49108
vaisernoprimeiroturno 12988
contagempublicadovoto 1
votoimpressoja 260
lulavergonhadobrasil 16307
presidentebolsonaro 4858
pernambucoemfoco 17
fechadocombolsonaroate2026 8011
lulamaldito 53
lulaptnaprisao 3
esquerdamentirosa 2516
nordestecombolsonaro 5407
foramachistas 1
estadodeespirito 8
lulista 122
pecdogolpe 56
sdv 6172
bbc 1393
ebc 385
tvbrasil 442
corriere 704
forabosolaro 48
jh 2156
jornaldarecord 7548
jovempannews 14781
lanacion 645
reuters 1514
revistaoeste 1067
caixafederal 4
pedroguimaraesinocente 1
chapeco 65
familia 6568
liberdade 15664
patria 6149
bolsobraga2022 254
bolsonaromeupresidente 186
aculpaedequempresidente 1
funkdapolarizaçāo 1
lulaeoptalegriadevolta 58
bolsanaro 165
hero 2
crusoé 445
votepcdob 2
votepsol 21
votept 50
cironacni 1
lulaladraoementiroso 7
cubacoopera 39
cubavive 141
cubaviveytrabaja 234
minhaluta 5
nazismo 3623
eleições2022 92500
união 126
pl 7198
povobaiano 5
síndromedeestocolmo 15
cancelesuacontadoitau 196
cpidavendadaeletrobras 5133
lulaeoptnocombateafome 1444
lulanacadeia 65300
lulanuincamais 2
lulanao 8070
gadaiadabolsominion 181
primeiroturnoem2022 3
síndicodecondomínio 9
esquerdacriminosa 27399
quemvotaembandidoébandido 2
esquerdanuncamais 21564
ojacaré 295
simulaçãodeatentado 3
stf 14401
trutisnobancodosréus 3
pecdodesespero 49
cicpc 59
pintoenhuelgadehambre 2
peckamikaze 102
planoreal 139
fechadocomtarcisiogovernadorsp 15
stfvergonhamundial 11345
forabolsonaroesuaquadrilha 36765
jairrenan 50
notícias 1138
bolsogado 45
bolsonaronuncamais 25027
bolsonarovagabundo 9732
bolsopetismo 258
economia 4421
inflaçao 39
moroounulo 110
mortadela 43
pauloguedes 9019
politica 10720
postoipiranga 17
eleicoes2022 179449
cajadadafinal 2
políticosbolsonaristas 53
primeiroturnodaseleiçõesde2022 32
vnl 4
encaminhafux 4
nsja 1
voteem1selivredos2 4112
araçatuba 13
reducaoicms 8
vacinasampa 26
alibertadora 13
avancabrasil 21
azulamarelo 13
b22 21503
brasilacimadetudo 11486
deusacimadetodos 7911
mcc 13
meupartidoéobrasil 33
mpb 385
trabalhonaopara 13
valeutche 13
verdeamarelo 292
petrobras 734
reestatizarapetrobras 1
noalaagenda2030 30
socialismoesmiseria 989
bolsonaroreeleitonoprimeiroturn 2
globolixo 94555
acordabrasil 4226
icms 218
bolsonaroreeleitoem22 166
lulapresidente2022 128491
salvemnossosindigenas 1
trump2024 904
2dejulho 511
bolsonarobahia 1
opetróleoénosso 8
lovetwitter 1070
vivaosus 1299
vêmpraurna 89
bastadessesdois 1
chegadessesdois 122
americafirst 14
13nacabeçadosfascistas 1
resistencia 377
2022b22 1
feiradesantanab22 1
centrãovergonhanacional 6
foconolegislativo 6
forabolsolula 197
foracentrão 981
pec16não 15
abortonao 425
primeiramentelulanacadeia 2767
anittamentirosa 140
barrosomentiroso 1408
brasilcombolsonaro 13347
cpidapetrobras 306
impeachmentalexandre 236
juntoscombolsonaro 6942
luladitador 4853
stfgabinetedocrime 609
stforganizaçãocriminosa 1412
forabolsonarovagabundo 42227
lulaealckminprimeiroturno 6
22noprimeiroturno 21
assumaodescontrole 7
publi 27
aforçadoagro 7
agricultura 210
agriculturafamiliar 187
agro 2772
agronegocio 390
agronomia 23
agropecuaria 36
desgoverno 524
novacap 1
vaderetrobozolula 119
vote2em1 2
lulavoltaprisao 1
icmszero 4
obrigadopresidentebolsonaro 13
bastadeviolênciacontraamulher 1
somostodasdenise 1
crime 2333
eleitoreira 6
inconstitucional 84
miliciano 780
ministros 123
pec 147
das 561
vota 632
expulso 349
populaçao 193
isso 981
nem 386
por 544
ruas 646
ta 1155
lularespeitaopovo 2
valeeleitor 1
asia 644
breakingnews 945
canada 536
cnn 8221
eu 974
india 2570
mena 18
newszero 18
nz 199
oz 18
pandemicofthevaccinated 18
skynews 57
southafrica 57
uae 158
worldnews 152
uk 2613
usa 5386
montanha 5
bolsolaodomec 8790
despejozero 37
cpiinstitutosdepesquisa 5
lulanuncamais 99241
realidade 123
aovivo 7014
governoagora 1
dinheirodopovo 25
vadio 7
lulapelabahia 14
pecdolula 1
cpidapec 2
2022limpezanocongresso 4
congresso 332
executivo 24
bolsonarodesesperado 118
bolsonaroincompetente 114
bolsonaroirresponsável 3
estelionatoeleitoral 51
votememmulheresdeesquerda 2
assediosexualecrime 7
caixaeconomicafederal 12
cef 23
noivinhadearistides 32
pedroguimaraes 15
