ID Appearances
pdt 8148
senado 2340
pnd 8717
bahia 16964
eleições 24039
política 5670
pernambuco 5941
recife 13969
bolsonaroreeleito2022 102584
foxnews 6682
estudioi 2594
lula2022 65210
lulaeoptmeubrasildevolta 3933
obrasilfelizdenovo 3275
bolsonaronoprimeiroturno 179541
cirogomes 28382
covid 1190
covid19 3145
argentina 7917
brasil 160286
lulanoprimeiroturno 137155
ciropresidente 17893
luladrao 41607
lula13presidente 48333
voltalula 6633
impeachmentbolsonaro 2523
jairbolsonaro 31709
somos70porcento 2199
nemlulanembolsonaro 8093
lulaeoptdestruiramobrasil 18568
ptnuncamais 206160
lula 203058
folhalixo 2432
ptelulanuncamais 1082
bolsonaro 195733
bolsonaro2022 113982
bolsonaro22 589216
noarnacbn 1163
sp 9935
lulaeoptpelotrabalhador 3868
bolsonaroreeleito 189223
bolsonaroreeleitoem2022 209796
tarcisiogovernadorsp2022 56373
lulaladraoseulugarenaprisao 107445
cirogames 2102
fechadocombolsonaro 26628
bolsonaronacadeia 37588
brazil 56070
forabolsonaro 142029
fome 3521
brasileiros 2867
democracia 20466
voto 3489
vamosjuntospelobrasil 118734
senadofederal 18463
freedom 1513
trump 2458
ms 15197
bolsonarotemrazao 93769
foragenocida 4429
prefirociro 52876
sextou 2099
02deoutubro 3192
esquerda 9271
gado 1073
lula13 396601
lulaoficial 3705
pt 38492
lulapresidente13 207049
bolsonaroorgulhodobrasil 39424
bolsonaroreeleitonoprimeiroturno 49108
vaisernoprimeiroturno 12988
lulavergonhadobrasil 16307
presidentebolsonaro 4858
fechadocombolsonaroate2026 8011
esquerdamentirosa 2516
nordestecombolsonaro 5407
sdv 6172
bbc 1393
jh 2156
jornaldarecord 7548
jovempannews 14781
reuters 1514
revistaoeste 1067
familia 6568
liberdade 15664
patria 6149
nazismo 3623
eleições2022 92500
pl 7198
cpidavendadaeletrobras 5133
lulaeoptnocombateafome 1444
lulanacadeia 65300
lulanao 8070
esquerdacriminosa 27399
esquerdanuncamais 21564
stf 14401
stfvergonhamundial 11345
forabolsonaroesuaquadrilha 36765
notícias 1138
bolsonaronuncamais 25027
bolsonarovagabundo 9732
economia 4421
pauloguedes 9019
politica 10720
eleicoes2022 179449
voteem1selivredos2 4112
b22 21503
brasilacimadetudo 11486
deusacimadetodos 7911
globolixo 94555
acordabrasil 4226
lulapresidente2022 128491
lovetwitter 1070
vivaosus 1299
primeiramentelulanacadeia 2767
barrosomentiroso 1408
brasilcombolsonaro 13347
juntoscombolsonaro 6942
luladitador 4853
stforganizaçãocriminosa 1412
forabolsonarovagabundo 42227
agro 2772
crime 2333
ta 1155
cnn 8221
india 2570
uk 2613
usa 5386
bolsolaodomec 8790
lulanuncamais 99241
aovivo 7014
ciro2022 4285
deuspatriafamilia 2747
fechadocombolsonaro2022 5644
jn 22431
bolsonaroate2026 18058
brasilacimadetudodeusacimadetodos 9324
foracorruptos 10081
educação 2519
e 7015
bolsonarocorrupto 26330
cpidomec 1097
bolsonaropresidenteate2026 10620
noticias 5279
netinhodabahia 1386
netinho 1825
netinhooficialbrasileiro 2538
haddadgovernadorsp 9610
cnn360 2204
jornaldacultura 2425
lulaladrao 85361
veja 1488
cirogomes2022 8074
ciro 10398
prefirociro12 6028
ciropresidente12 52457
lulamentiroso 12452
stforganizacaocriminosa 43128
lulaemsalvador 2100
tiktok 3226
esquerdistasseguemesquerdistas 11696
impeachmentalexandredemoraes 6082
impeachmentbarroso 1222
cuidado 3975
datapovo 3829
mito 20362
freixo 1019
ospingosnosis 8999
fotapt 8789
fazol 20520
humor 1820
lulala 6197
vozesprogressistas 1045
petropolis 1333
corrupto 4611
foraarthurlira 30046
pcdob 1787
tuckercarlson 3214
lula1ºturno 1169
lulaestadista 1954
lulainocente 10796
lulajá 2319
lulapresidente 147929
salvador 7667
povo 5402
voce 1923
nao 3408
ladrão 3181
governobolsonaro 1301
amazon 1416
dilmarousseff 2094
partidodostrabalhadores 1584
ladrao 4532
forarodrigopacheco 4598
pachecoconivente 4705
arthurliracúmplice 29893
cironogueiracúmplice 29826
forabolsonaroracista 7544
foracironogueira 29828
foramoro 14330
lula13éamelhoropção 33292
moronacadeia 21560
o 5044
pcc 2097
a 3810
em 1810
cpidobolsolão 1192
forabozo 5963
ptepccjuntos 41622
luladrão 12916
micheque 8135
agenda2030 1206
pedofilia 1139
pesquisa 2892
pcceptjuntos 2673
turmaboa 4218
cpidoptepcc 10504
povobrasileiro 1687
simonesim 1144
al 15027
globonews 21407
ma 14980
pb 15379
stfvergonhanacional 36652
presidente 12327
bolsonaromente 5826
chegadesses2 2068
direitaforte 9123
repost 1696
santacatarina 16944
nomeuvotoninguemmexe 1878
cnnnaseleições 10924
esquerdasegueesquerda 42649
bolsonarismo 1373
cironosegundoturno 2933
pátria 4732
simonepresidente 2885
simonetebet 15415
lulaeopteuvocebrasilinteirinho 2069
eleicoeslimpas 1918
foralula 38722
forapt 36827
lulahomofobico 1370
elenao 3920
celsodaniel 1427
lulaladrão 45806
primeiroturno 1668
expressocnn 5296
bolsonarogenocida 14605
tarcisiogovernadorsp 44901
world 2505
caminhoneiros 9662
estadao 8572
rtp 1863
genocida 4177
nossabandeirajamaisseravermelha 4920
rachadinha 2256
do 2083
esperança 1521
lula13presidentenoprimeiroturno 1572
esquerdalixo 2337
amazonas 4060
j10 2932
lulasim 8311
anitta 4768
bitcoin 1308
nba 5285
elonmusk 2813
neymar 4384
flamengo 6573
globo 15686
brésil 4666
band 3382
recordtv 2017
sbt 4992
fantastico 11398
socialismo 2285
afp 1043
cbsnews 3474
domingoespetacular 6241
abcnews 3394
cnnbrasil 21377
jornaloglobo 1295
guardian 1575
juntospelobrasil 3137
vivalula 1137
putin 1701
lulanaoeinocentebabaca 9403
simone 1490
bomdiabrasil 16989
bomdiasp 13555
governalismo 1874
ciro12 43139
ciroaunicavia 2507
cironoflow 1700
debatepresidencial 2141
maga 2102
rebeldiadaesperança 1157
expresidiário 1643
lulacondenado 1704
globolixoderretendo 12330
brazilian 1946
president 1471
bolsonaronoprimeiroturno22 70550
shorts 1181
cristão 5774
direitaseguedireita 3456
patriota 1379
impunidade 1919
riodejaneiro 27170
timedolula 5825
família 5742
viral 3079
cnnnaseleicoes 1954
descondenado 2344
chile 2267
lapaz 2844
btc 1834
eth 1120
lulagigante 1115
bolsonaro22ate2026 3983
juntossomosmaisfortes 1195
corrupção 5087
respeito 1365
todopoderemanadopovo 1908
bolsominion 1404
podcast 2349
agoraéciro 9675
lulaassassino 1247
lulaeleitonoprimeiroturno 11973
lulanabahia 1522
jornalista 1627
g1 10463
ba 15164
forabolsonarocorruptoeseudesgoverno 1161
datafolha 4503
fakenews 12996
news 2431
quemmandoumatarcelsodaniel 1301
jb22 5594
bolivia 5075
equipelula 25216
tvpt 4326
amazonia 1393
pantanal 2300
desenrolasp 1341
falabrasil 1414
pânico 1314
record 2648
uol 5058
se 16308
video 1070
cirosim 1984
expresidiario 5949
politics 1104
patriagrande 1760
bbb22 3149
ptnão 2058
minas 2280
vergonha 3097
agronegócio 1051
evangélicos 6740
orçamentosecreto 2288
eleicoes 16198
presidentelula 2604
cirorebeldiadaesperança 1381
haddadgovernadorsp13 13556
mudabrasil 1328
piauí 1093
haddad13 41804
brasilfelizdenovo 3271
elesim 2428
voltapt 5617
bolsonaroaté2026 2104
cnnlixo 28227
bresil 3111
france 1585
ptorganizacaocriminosa 4479
lulapreso 4753
bolsocaro 1565
mundo 2684
lulabandido 2681
lulavagabundo 1072
bandido 2917
racista 1192
fake 1163
lulamente 3627
portugal 2891
jesus 6564
sdvtodos 48382
mentiras 5339
miseria 2037
chorapt 1075
ptlixo 1968
comunismoesmiseria 1837
onu 2701
cuba 6374
bolsonaronoprimeiroturno2022 1272
luladrãonacadeia 1183
portalr7 1227
r7 3950
brasileiro 5658
futuro 1391
psol 2516
lulaeoptporvidasesonhos 12014
tse 16259
