Id appearances modularity_class
pdt 8148 3
senado 2340 1
pnd 8717 3
bahia 16964 1
eleições 24039 1
política 5670 1
pernambuco 5941 1
recife 13969 0
bolsonaroreeleito2022 102584 9
foxnews 6682 12
estudioi 2594 14
lula2022 65210 7
lulaeoptmeubrasildevolta 3933 7
obrasilfelizdenovo 3275 7
bolsonaronoprimeiroturno 179541 9
cirogomes 28382 3
covid 1190 14
covid19 3145 14
argentina 7917 1
brasil 160286 1
lulanoprimeiroturno 137155 7
ciropresidente 17893 3
luladrao 41607 9
lula13presidente 48333 7
voltalula 6633 7
impeachmentbolsonaro 2523 7
jairbolsonaro 31709 9
somos70porcento 2199 7
nemlulanembolsonaro 8093 3
lulaeoptdestruiramobrasil 18568 9
ptnuncamais 206160 9
lula 203058 7
folhalixo 2432 9
ptelulanuncamais 1082 9
bolsonaro 195733 9
bolsonaro2022 113982 9
bolsonaro22 589216 9
noarnacbn 1163 1
sp 9935 1
lulaeoptpelotrabalhador 3868 7
bolsonaroreeleito 189223 9
bolsonaroreeleitoem2022 209796 9
tarcisiogovernadorsp2022 56373 9
lulaladraoseulugarenaprisao 107445 9
cirogames 2102 3
fechadocombolsonaro 26628 9
bolsonaronacadeia 37588 7
brazil 56070 1
forabolsonaro 142029 7
fome 3521 1
brasileiros 2867 7
democracia 20466 1
voto 3489 1
vamosjuntospelobrasil 118734 7
senadofederal 18463 9
freedom 1513 1
trump 2458 1
ms 15197 0
bolsonarotemrazao 93769 9
foragenocida 4429 7
prefirociro 52876 3
sextou 2099 7
02deoutubro 3192 7
esquerda 9271 7
gado 1073 7
lula13 396601 7
lulaoficial 3705 7
pt 38492 7
lulapresidente13 207049 7
bolsonaroorgulhodobrasil 39424 9
bolsonaroreeleitonoprimeiroturno 49108 9
vaisernoprimeiroturno 12988 9
lulavergonhadobrasil 16307 9
presidentebolsonaro 4858 9
fechadocombolsonaroate2026 8011 9
esquerdamentirosa 2516 9
nordestecombolsonaro 5407 9
sdv 6172 7
bbc 1393 14
jh 2156 14
jornaldarecord 7548 14
jovempannews 14781 14
reuters 1514 14
revistaoeste 1067 14
familia 6568 1
liberdade 15664 1
patria 6149 1
nazismo 3623 1
eleições2022 92500 1
pl 7198 1
cpidavendadaeletrobras 5133 7
lulaeoptnocombateafome 1444 7
lulanacadeia 65300 9
lulanao 8070 9
esquerdacriminosa 27399 9
esquerdanuncamais 21564 9
stf 14401 1
stfvergonhamundial 11345 9
forabolsonaroesuaquadrilha 36765 7
notícias 1138 1
bolsonaronuncamais 25027 7
bolsonarovagabundo 9732 7
economia 4421 1
pauloguedes 9019 5
politica 10720 1
eleicoes2022 179449 1
voteem1selivredos2 4112 3
b22 21503 9
brasilacimadetudo 11486 9
deusacimadetodos 7911 9
globolixo 94555 9
acordabrasil 4226 9
lulapresidente2022 128491 7
lovetwitter 1070 1
vivaosus 1299 1
