POS|TG|POL:N0|POL:N1
à-vontade|N|HUM:N0|1|NaN
abafado|Adj|HUM:N0|-1|NaN
abafante|Adj|HUM:N0|-1|NaN
abaixado|Adj|HUM:N0|-1|NaN
abalado|Adj|HUM:N0|-1|NaN
abalizado|Adj|HUM:N0|1|NaN
abalroado|Adj|HUM:N0|-1|NaN
abalroar|V|HUM:N0:N1|1|-1
abanar|V|HUM:N0:N1|1|-1
abandalhado|Adj|HUM:N0|-1|NaN
abandalhamento|N|HUM:N0|-1|NaN
abandonado|Adj|HUM:N0|-1|NaN
abandonar|V|HUM:N0:N1|-1|0
abarcante|Adj|HUM:N0|0|NaN
abarrotado|Adj|HUM:N0|-1|NaN
abastado|Adj|HUM:N0|1|NaN
abastecido|Adj|HUM:N0|0|NaN
abater|V|HUM:N0:N1|1|-1
abatido|Adj|HUM:N0|-1|NaN
abelhudo|Adj|HUM:N0|-1|NaN
abençoado|Adj|HUM:N0|1|NaN
aberração|N|HUM:N0|-1|NaN
aberrante|Adj|HUM:N0|-1|NaN
aberrativo|Adj|HUM:N0|-1|NaN
aberto|Adj|HUM:N0|1|NaN
abespinhado|Adj|HUM:N0|-1|NaN
abestalhado|Adj|HUM:N0|-1|NaN
abilolado|Adj|HUM:N0|-1|NaN
abjeção|N|HUM:N0|-1|NaN
abjecção|N|HUM:N0|-1|NaN
abjecto|Adj|HUM:N0|-1|NaN
abjeto|Adj|HUM:N0|-1|NaN
abnegado|Adj|HUM:N0|1|NaN
abobado|Adj|HUM:N0|-1|NaN
abobalhado|Adj|HUM:N0|-1|NaN
abolicionista|Adj|HUM:N0|0|NaN
abolido|Adj|HUM:N0|-1|NaN
abominador|Adj|HUM:N0|-1|NaN
abominando|Adj|HUM:N0|-1|NaN
abominar|V|HUM:N0:N1|0|-1
abominável|Adj|HUM:N0|-1|NaN
abonado|Adj|HUM:N0|1|NaN
abonatório|Adj|HUM:N0|1|NaN
abonecado|Adj|HUM:N0|0|NaN
aborrecer-se|V|HUM:N0|-1|NaN
aborrecer|V|HUM:N0:N1|1|-1
aborrecido|Adj|HUM:N0|-1|NaN
abortado|Adj|HUM:N0|-1|NaN
abraçado|Adj|HUM:N0|1|NaN
abrasileirado|Adj|HUM:N0|0|NaN
abrigado|Adj|HUM:N0|0|NaN
abrilhantado|Adj|HUM:N0|1|NaN
abrir a alma|IDIOM|HUM:N0|1|NaN
abrir o coração|IDIOM|HUM:N0|1|NaN
abrir os olhos|IDIOM|HUM:N0|1|NaN
abrupto|Adj|HUM:N0|-1|NaN
abrutalhado|Adj|HUM:N0|-1|NaN
absentista|Adj|HUM:N0|-1|NaN
absolutista|Adj|HUM:N0|0|NaN
absoluto|Adj|HUM:N0|0|NaN
absolvido|Adj|HUM:N0|0|NaN
absorvente|Adj|HUM:N0|1|NaN
abstémico|Adj|HUM:N0|1|NaN
abstémio|Adj|HUM:N0|1|NaN
abstencionista|Adj|HUM:N0|0|NaN
abstinente|Adj|HUM:N0|0|NaN
abstracto|Adj|HUM:N0|-1|NaN
abstraído|Adj|HUM:N0|-1|NaN
abstrato|Adj|HUM:N0|-1|NaN
abstrusidade|N|HUM:N0|-1|NaN
abstruso|Adj|HUM:N0|-1|NaN
absurdo|Adj|HUM:N0|-1|NaN
abulia|N|HUM:N0|-1|NaN
abúlico|Adj|HUM:N0|-1|NaN
aburguesado|Adj|HUM:N0|0|NaN
abusado|Adj|HUM:N0|-1|NaN
abusador|Adj|HUM:N0|-1|NaN
abusar|V|HUM:N0:N1|-1|0
abusivo|Adj|HUM:N0|-1|NaN
acabado|Adj|HUM:N0|-1|NaN
acabadote|Adj|HUM:N0|-1|NaN
acabrunhado|Adj|HUM:N0|-1|NaN
acaciano|Adj|HUM:N0|-1|NaN
acadêmico|Adj|HUM:N0|0|NaN
acalorado|Adj|HUM:N0|0|NaN
açambarcador|Adj|HUM:N0|-1|NaN
acanhado|Adj|HUM:N0|-1|NaN
acanhamento|N|HUM:N0|-1|NaN
acanhar-se|V|HUM:N0|-1|NaN
acatado|Adj|HUM:N0|1|NaN
acatador|Adj|HUM:N0|0|NaN
acautelado|Adj|HUM:N0|0|NaN
acéfalo|Adj|HUM:N0|-1|NaN
aceitável|Adj|HUM:N0|1|NaN
aceite|Adj|HUM:N0|0|NaN
